project_id,project_name,client_name,start_date,end_date,required_headcount,allocated_headcount,project_status
201,Project_Without,"Bond, Stewart and Reynolds",2026-03-04,2027-01-23,19,5,Active
202,Project_Control,Williams PLC,2026-04-09,2026-12-04,29,10,On Hold
203,Project_Tonight,Gilmore-Fisher,2026-03-29,2026-10-16,28,24,Completed
204,Project_Large,Hodges-Oconnor,2025-03-27,2027-01-28,30,20,Completed
205,Project_Quality,Barnett and Sons,2024-10-07,2026-09-27,7,6,Active
206,Project_Position,Melton Ltd,2024-08-11,2027-01-11,13,11,Active
207,Project_Give,Martinez-Moore,2024-07-11,2027-03-27,19,14,On Hold
208,Project_At,Harrington-Pratt,2024-08-14,2026-08-09,28,24,Completed
209,Project_Contain,Glover and Sons,2024-10-08,2026-12-01,23,15,On Hold
210,Project_Soldier,"Adams, Harrison and Williams",2024-06-09,2027-04-08,16,4,On Hold
211,Project_Data,Donaldson-Lewis,2025-05-02,2027-02-21,12,10,Active
212,Project_Next,Miller Ltd,2024-09-28,2027-03-20,24,20,Completed
213,Project_Center,"Rodriguez, Rojas and Anderson",2024-10-06,2027-05-06,24,10,On Hold
214,Project_Worry,Frye-Mills,2026-04-01,2026-10-30,7,6,On Hold
215,Project_Story,"Chambers, Tyler and Campbell",2025-05-25,2027-01-12,14,13,Completed
216,Project_Social,Henderson-Small,2025-05-29,2026-05-22,8,4,Active
217,Project_Compare,"Joseph, Cooper and Brown",2024-05-09,2026-12-30,6,5,Completed
218,Project_Billion,Smith-Rose,2026-01-28,2027-03-21,8,3,Active
219,Project_Strong,"Richard, Taylor and Davis",2026-01-05,2027-03-15,22,7,Completed
220,Project_Century,Hall Inc,2026-01-25,2027-02-13,19,14,On Hold
221,Project_North,Hale-Shah,2024-07-03,2027-04-03,28,25,On Hold
222,Project_End,Bush Ltd,2025-04-26,2026-11-17,18,7,Completed
223,Project_Receive,"Martin, Pacheco and Krause",2024-09-12,2026-08-30,25,6,Completed
224,Project_Staff,"Reed, Conley and Coffey",2024-07-03,2026-09-27,24,16,Completed
225,Project_Clearly,"Cowan, Gonzalez and Owens",2024-10-09,2026-07-05,6,5,Active
226,Project_Two,"Rodriguez, Blake and Thomas",2025-09-28,2026-05-16,19,17,Active
227,Project_Short,Obrien-Peterson,2025-03-07,2027-03-22,16,4,On Hold
228,Project_Poor,Mason-Morrow,2026-02-27,2026-06-04,16,11,On Hold
229,Project_Southern,"King, Smith and Gutierrez",2024-06-20,2027-02-17,16,3,Completed
230,Project_Lay,Rodriguez-James,2024-08-09,2027-01-10,13,6,Active
